id,name,property_type,room_type,bathrooms,bedrooms,beds,price
7381.0,Chalet Chocolat in medieval alpine village,Entire rental unit,Entire home/apt,1.0,1.0,2.0,87.0
26809.0,"Quiet bedroom, private bathroom",Private room in rental unit,Private room,1.0,1.0,2.0,296.5
50123.0,Not Available any longer,Private room in rental unit,Private room,1.0,1.0,4.0,762.0
129558.0,Vos vacances à Lausanne,Private room in rental unit,Private room,1.625,1.25,2.75,350.25
259823.0,"Spacious, quiet, downtown, near lake & transports",Entire rental unit,Entire home/apt,1.625,2.0,2.5,260.75
268195.0,"Chalet Balthazar 4 - Central Villars, Great Views",Entire rental unit,Entire home/apt,3.0,3.0,4.0,395.0
282240.0,Wonderful LOFT PRIVAT in citycenter,Entire loft,Entire home/apt,1.5,1.0,1.0,179.0
347194.0,Castle in the hill. Stunning view 1,Room in bed and breakfast,Hotel room,1.0,2.0,3.0,249.0
361490.0,Castle in the hill. Stunning view 2,Entire rental unit,Entire home/apt,1.0,1.0,2.0,220.0
441365.0,Centré 2 pieces superbe appartement,Entire rental unit,Entire home/apt,1.0,1.0,1.0,100.0
465603.0,Spacious room - private bathroom,Private room in rental unit,Private room,1.0,1.0,1.0,42.0
481748.0,Duplex! Center of Vevey. Character!,Entire rental unit,Entire home/apt,2.0,2.0,1.0,191.0
484112.0,Great lake views and beautiful modern flat,Entire condo,Entire home/apt,1.625,1.0,2.5,260.75
545587.0,Bright 2nd floor Business/ Holiday apartment,Entire condo,Entire home/apt,1.0,1.0,1.0,157.0
563402.0,Heidi Chalet Alps - Unique Experience - Authentic,Entire rental unit,Entire home/apt,2.5,6.0,10.0,475.0
580402.0,"A4C3Coeur de ville, chambre privée",Private room in rental unit,Private room,1.25,1.25,1.0,98.25
592411.0,Minuit Soleil Room in the Lavaux!,Private room in villa,Private room,1.0,3.0,1.0,55.0
605354.0,Chambre double située à Cully ! Wc/douche privatif,Private room in bed and breakfast,Private room,1.0,1.0,2.0,90.0
614885.0,"""Silvano"" private room and bathroom",Private room in villa,Private room,1.0,1.0,1.0,50.0
614923.0,Bambou Room right in the Lavaux !,Private room in villa,Private room,1.0,1.0,1.0,80.0
630291.0,White Double room in Cully Village wc/douche privé,Private room in bed and breakfast,Private room,1.0,1.0,2.0,90.0
734992.0,house with a view,Entire home,Entire home/apt,1.0,1.0,1.5,88.75
806451.0,Sunset on the Leman Lake - Montreux,Private room in home,Private room,1.0,1.0,1.0,180.0
932282.0,"A3/C2 Coeur de Ville, Magnifique chambre",Private room in rental unit,Private room,1.0,1.0,1.0,60.0
966106.0,Modern apartment in the mountains with sauna,Entire rental unit,Entire home/apt,1.0,1.0,2.0,130.0
970278.0,20 min:Lausanne/Neuchâtel,Private room in guesthouse,Private room,1.0,2.0,1.5,115.0
998336.0,Duplex flat in Gstaad / Rougemeont,Entire chalet,Entire home/apt,1.0,2.0,1.5,86.0
1040903.0,Face to the lake and the Alps!,Private room in home,Private room,1.0,1.0,2.0,49.0
1117582.0,View Magnifique Lac Léman - Chardonne,Entire rental unit,Entire home/apt,2.0,2.0,3.0,390.0
1127066.0,Historical Chalet Gryon-Les Plans,Entire chalet,Entire home/apt,2.5,3.0,4.0,230.0
1134905.0,Loft en milieu rural à Eclagnens,Entire loft,Entire home/apt,1.0,1.0,1.0,125.0
1140136.0,La Chambre #11,Private room in guesthouse,Private room,1.0,1.0,1.0,180.0
1157613.0,Stunning Suite with a view in the vineyards,Room in bed and breakfast,Hotel room,1.5,2.0,3.0,270.0
1182243.0,Cozy apartment in beautiful garden!,Entire rental unit,Entire home/apt,1.0,1.0,2.0,75.0
1189018.0,NYON  -  SUPERB flat by the lake,Entire rental unit,Entire home/apt,1.0,1.0,1.0,225.0
1209679.0,Ski in/out Retro modern chalet w/ stunning views,Entire chalet,Entire home/apt,1.5,3.0,4.0,142.0
1237327.0,H2otes,Private room in home,Private room,1.0,1.0,1.0,79.0
1262248.0,Single bedroom in Morges 10 min from train station,Private room in rental unit,Private room,1.0,1.0,1.0,65.0
1285195.0,Nice 1 bedroom flat in Lausanne,Entire rental unit,Entire home/apt,1.0,2.0,1.25,113.5
1318979.0,Studio Les Avants sur Montreux,Entire rental unit,Entire home/apt,1.0,1.0,1.0,70.0
1349096.0,Entire flat with panoramic Mont Blanc view,Entire rental unit,Entire home/apt,1.0,1.0,1.0,100.0
1371803.0,65sqm w/balcony in heart of town,Entire rental unit,Entire home/apt,1.0,1.0,1.0,120.0
1388711.0,Chalet aux pieds des pistes avec places de parcs,Entire chalet,Entire home/apt,1.0,3.0,1.75,149.75
1411747.0,"Stylish, cosy and independent cottage",Entire home,Entire home/apt,1.0,1.0,2.0,180.0
1418503.0,Comfortable flat in city center (80m2),Entire rental unit,Entire home/apt,1.0,2.0,2.0,125.0
1500807.0,Living and vacation in garden eden and palm oasis,Private room in villa,Private room,1.5,1.0,2.0,99.0
