listing_url,name,property_type,host_is_superhost,host_acceptance_rate,neighbourhood_cleansed,neighbourhood_group_cleansed,price
https://www.airbnb.com/rooms/7381,Chalet Chocolat in medieval alpine village,Entire rental unit,False,67.0,Ormont-Dessus,Aigle,87.0
https://www.airbnb.com/rooms/26809,"Quiet bedroom, private bathroom",Private room in rental unit,False,91.75,Pully,Lavaux-Oron,296.5
https://www.airbnb.com/rooms/50123,Not Available any longer,Private room in rental unit,False,91.75,Mont-sur-Rolle,Nyon,762.0
https://www.airbnb.com/rooms/129558,Vos vacances à Lausanne,Private room in rental unit,False,86.25,Lausanne,Lausanne,350.25
https://www.airbnb.com/rooms/259823,"Spacious, quiet, downtown, near lake & transports",Entire rental unit,False,94.5,La Tour-de-Peilz,Riviera-Pays-d'Enhaut,260.75
https://www.airbnb.com/rooms/268195,"Chalet Balthazar 4 - Central Villars, Great Views",Entire rental unit,True,78.0,Ollon,Aigle,395.0
https://www.airbnb.com/rooms/282240,Wonderful LOFT PRIVAT in citycenter,Entire loft,False,100.0,Lausanne,Lausanne,179.0
https://www.airbnb.com/rooms/347194,Castle in the hill. Stunning view 1,Room in bed and breakfast,True,100.0,Chardonne,Riviera-Pays-d'Enhaut,249.0
https://www.airbnb.com/rooms/361490,Castle in the hill. Stunning view 2,Entire rental unit,True,100.0,Chardonne,Riviera-Pays-d'Enhaut,220.0
https://www.airbnb.com/rooms/441365,Centré 2 pieces superbe appartement,Entire rental unit,False,55.0,Lausanne,Lausanne,100.0
https://www.airbnb.com/rooms/465603,Spacious room - private bathroom,Private room in rental unit,True,88.0,Rennaz,Aigle,42.0
https://www.airbnb.com/rooms/481748,Duplex! Center of Vevey. Character!,Entire rental unit,False,63.5,Vevey,Riviera-Pays-d'Enhaut,191.0
https://www.airbnb.com/rooms/484112,Great lake views and beautiful modern flat,Entire condo,False,94.5,Lausanne,Lausanne,260.75
https://www.airbnb.com/rooms/545587,Bright 2nd floor Business/ Holiday apartment,Entire condo,True,100.0,Bourg-en-Lavaux,Lavaux-Oron,157.0
https://www.airbnb.com/rooms/563402,Heidi Chalet Alps - Unique Experience - Authentic,Entire rental unit,True,51.0,Rossinière,Riviera-Pays-d'Enhaut,475.0
https://www.airbnb.com/rooms/580402,"A4C3Coeur de ville, chambre privée",Private room in rental unit,False,55.0,Lausanne,Lausanne,98.25
https://www.airbnb.com/rooms/592411,Minuit Soleil Room in the Lavaux!,Private room in villa,True,56.0,Bourg-en-Lavaux,Lavaux-Oron,55.0
https://www.airbnb.com/rooms/605354,Chambre double située à Cully ! Wc/douche privatif,Private room in bed and breakfast,True,93.0,Bourg-en-Lavaux,Lavaux-Oron,90.0
https://www.airbnb.com/rooms/614885,"""Silvano"" private room and bathroom",Private room in villa,True,56.0,Bourg-en-Lavaux,Lavaux-Oron,50.0
https://www.airbnb.com/rooms/614923,Bambou Room right in the Lavaux !,Private room in villa,True,56.0,Bourg-en-Lavaux,Lavaux-Oron,80.0
https://www.airbnb.com/rooms/630291,White Double room in Cully Village wc/douche privé,Private room in bed and breakfast,True,93.0,Bourg-en-Lavaux,Lavaux-Oron,90.0
https://www.airbnb.com/rooms/734992,house with a view,Entire home,False,83.0,Montreux,Riviera-Pays-d'Enhaut,88.75
https://www.airbnb.com/rooms/806451,Sunset on the Leman Lake - Montreux,Private room in home,False,100.0,Montreux,Riviera-Pays-d'Enhaut,180.0
