property_type,count
Entire rental unit,2755
Private room in rental unit,754
Entire home,333
Entire condo,309
Entire chalet,263
Private room in bed and breakfast,234
Private room in home,211
Entire villa,73
Private room in villa,61
Entire loft,55
Private room in condo,53
Room in hotel,42
Entire serviced apartment,34
Entire guesthouse,30
Private room in guesthouse,22
Entire vacation home,21
Entire guest suite,20
Private room in townhouse,19
Private room in farm stay,18
Shared room in rental unit,18
Shared room in home,17
Private room in nature lodge,17
Entire townhouse,17
Private room in hostel,16
Camper/RV,16
Private room in casa particular,15
Tiny home,14
Private room in chalet,14
Entire cabin,12
Entire place,12
Entire cottage,11
Room in boutique hotel,9
Private room in loft,7
Shared room in bed and breakfast,7
Castle,6
Room in aparthotel,6
Private room in guest suite,6
Room in bed and breakfast,6
Farm stay,5
Private room,4
Private room in cottage,3
Casa particular,3
Private room in barn,3
Shared room in condo,2
Room in serviced apartment,2
Hut,2
Entire bungalow,2
Boat,2
Shared room in loft,1
Shared room in hostel,1
Treehouse,1
Shared room in villa,1
Shared room in chalet,1
Barn,1
Room in heritage hotel,1
Private room in yurt,1
Private room in vacation home,1
Private room in tiny home,1
Private room in tent,1
Private room in shepherd's hut,1
Private room in camper/rv,1
Private room in cabin,1
Entire resort,1
Dome,1
Yurt,1
